Brand Sales & Average Price Report,,,
,,,
Brand (Make),Total Sales Revenue,Average Selling Price,Sales Count
Infiniti,"$3,155,650","$23,906.44",132
Hyundai,"$1,663,500","$14,852.68",112
Bmw,"$1,232,001","$56,000.05",22
Kia,"$1,050,450","$16,160.77",65
Mercedes-Benz,"$858,250","$35,760.42",24
Nissan,"$510,400","$13,431.58",38
Chevrolet,"$377,350","$17,152.27",22
Audi,"$365,050","$36,505.00",10
Lexus,"$359,700","$35,970.00",10
Volvo,"$293,650","$29,365.00",10
Mazda,"$219,300","$13,706.25",16
Land Rover,"$207,000","$41,400.00",5
Jeep,"$166,150","$23,735.71",7
Mitsubishi,"$102,100","$14,585.71",7
Acura,"$83,150","$27,716.67",3
Cadillac,"$74,000","$37,000.00",2
Mini,"$70,300","$14,060.00",5
Jaguar,"$52,000","$26,000.00",2
Toyota,"$35,000","$11,666.67",3
Lincoln,"$24,500","$24,500.00",1
Buick,"$24,100","$24,100.00",1
Ford,"$24,000","$12,000.00",2
Volkswagen,"$8,000","$8,000.00",1
Grand Total,"$10,955,601","$24,242.40",500